wave,Year,Date
2017,2017,2017-06-14
2017,2017,2017-06-15
2017,2017,2017-06-16
2017,2017,2017-06-17
2017,2017,2017-06-18
2017,2017,2017-06-19
2017,2017,2017-06-20
2017,2017,2017-06-21
2017,2017,2017-06-22
2017,2017,2017-06-23
2017,2017,2017-06-26
2017,2017,2017-06-27
2017,2017,2017-06-28
2017,2017,2017-06-29
2017,2017,2017-06-30
2017,2017,2017-07-03
2017,2017,2017-07-04
2017,2017,2017-07-05
2017,2017,2017-07-06
2017,2017,2017-07-07
2017,2017,2017-07-09
2017,2017,2017-07-10
2017,2017,2017-07-11
2017,2017,2017-07-12
2017,2017,2017-07-13
2017,2017,2017-07-14
2017,2017,2017-07-15
2017,2017,2017-07-17
2017,2017,2017-07-18
2017,2017,2017-07-19
2017,2017,2017-07-20
2017,2017,2017-07-21
2017,2017,2017-07-24
2017,2017,2017-07-25
2017,2017,2017-07-26
2017,2017,2017-07-28
2017,2017,2017-08-25
2018,2017,2017-09-11
2018,2017,2017-09-12
2018,2017,2017-09-13
2018,2017,2017-09-14
2018,2017,2017-09-15
2018,2017,2017-09-18
2018,2017,2017-09-19
2018,2017,2017-09-20
2018,2017,2017-09-21
2018,2017,2017-09-22
2018,2017,2017-09-25
2018,2017,2017-09-26
2018,2017,2017-09-27
2018,2017,2017-09-28
2018,2017,2017-09-29
2018,2017,2017-10-02
2018,2017,2017-10-03
2018,2017,2017-10-04
2018,2017,2017-10-05
2018,2017,2017-10-06
2018,2017,2017-10-09
2018,2017,2017-10-10
2018,2017,2017-10-11
2018,2017,2017-10-12
2018,2017,2017-10-13
2018,2017,2017-10-16
2018,2017,2017-10-17
2018,2017,2017-10-18
2018,2017,2017-10-19
2018,2017,2017-10-20
2018,2017,2017-10-25
2018,2017,2017-10-26
2018,2017,2017-10-27
2018,2017,2017-10-30
2018,2017,2017-10-31
2018,2017,2017-11-01
2018,2017,2017-11-02
2018,2017,2017-11-03
2018,2017,2017-11-06
2018,2017,2017-11-07
2018,2017,2017-11-08
2018,2017,2017-11-09
2018,2017,2017-11-10
2018,2017,2017-11-13
2018,2017,2017-11-14
2018,2017,2017-11-15
2018,2017,2017-11-16
2018,2017,2017-11-17
2018,2017,2017-11-20
2018,2017,2017-11-21
2018,2017,2017-11-27
2018,2017,2017-12-01
2018,2018,2018-03-14
2018,2018,2018-03-19
2018,2018,2018-03-20
2018,2018,2018-03-21
2018,2018,2018-03-22
2018,2018,2018-03-23
2018,2018,2018-03-26
2018,2018,2018-03-27
2018,2018,2018-03-28
2018,2018,2018-03-29
2018,2018,2018-04-06
2018,2018,2018-04-16
2018,2018,2018-04-17
2018,2018,2018-04-18
2018,2018,2018-04-19
2018,2018,2018-04-20
2018,2018,2018-04-23
2018,2018,2018-04-24
2018,2018,2018-04-25
2018,2018,2018-04-26
2018,2018,2018-04-27
2018,2018,2018-04-30
2018,2018,2018-05-01
2018,2018,2018-05-02
2018,2018,2018-05-03
2018,2018,2018-05-04
2018,2018,2018-05-05
2018,2018,2018-05-07
2018,2018,2018-05-08
2018,2018,2018-05-09
2018,2018,2018-05-10
2018,2018,2018-05-11
2018,2018,2018-05-12
2018,2018,2018-05-14
2018,2018,2018-05-15
2018,2018,2018-05-16
2018,2018,2018-05-17
2018,2018,2018-05-18
2018,2018,2018-05-21
2018,2018,2018-05-22
2018,2018,2018-05-23
2018,2018,2018-05-24
2018,2018,2018-05-25
2018,2018,2018-05-26
2018,2018,2018-05-27
2018,2018,2018-06-03
2018,2018,2018-06-04
2018,2018,2018-06-05
2018,2018,2018-06-06
2018,2018,2018-06-07
2018,2018,2018-06-08
2018,2018,2018-06-09
2018,2018,2018-06-10
2018,2018,2018-06-11
2018,2018,2018-06-12
2018,2018,2018-06-13
2018,2018,2018-06-14
2018,2018,2018-06-15
2018,2018,2018-06-16
2018,2018,2018-06-17
2018,2018,2018-06-18
2018,2018,2018-06-19
2018,2018,2018-06-20
2018,2018,2018-06-21
2018,2018,2018-06-22
2018,2018,2018-06-23
2018,2018,2018-06-24
2018,2018,2018-06-25
2018,2018,2018-06-26
2018,2018,2018-06-27
2018,2018,2018-06-28
2018,2018,2018-06-29
2018,2018,2018-07-02
2018,2018,2018-07-03
2018,2018,2018-07-04
2018,2018,2018-07-05
2018,2018,2018-07-06
2018,2018,2018-07-09
2018,2018,2018-07-10
2018,2018,2018-07-11
2018,2018,2018-07-12
2018,2018,2018-07-13
2018,2018,2018-07-15
2018,2018,2018-07-16
2018,2018,2018-07-17
2018,2018,2018-07-18
2018,2018,2018-07-19
2018,2018,2018-07-20
2018,2018,2018-07-21
2018,2018,2018-07-26
2018,2018,2018-08-22
2018,2018,2018-08-27
2018,2018,2018-10-08
2018,2018,2018-10-09
2018,2018,2018-10-10
2018,2018,2018-10-11
2018,2018,2018-10-12
2018,2018,2018-10-16
2018,2018,2018-10-17
2019,2018,2018-08-20
2019,2018,2018-09-03
2019,2018,2018-09-04
2019,2018,2018-09-05
2019,2018,2018-09-06
2019,2018,2018-09-07
2019,2018,2018-09-10
2019,2018,2018-09-11
2019,2018,2018-09-12
2019,2018,2018-09-13
2019,2018,2018-09-14
2019,2018,2018-09-17
2019,2018,2018-09-18
2019,2018,2018-09-19
2019,2018,2018-09-20
2019,2018,2018-09-21
2019,2018,2018-09-24
2019,2018,2018-09-25
2019,2018,2018-09-26
2019,2018,2018-09-27
2019,2018,2018-09-28
2019,2018,2018-10-01
2019,2018,2018-10-02
2019,2018,2018-10-03
2019,2018,2018-10-04
2019,2018,2018-10-05
2019,2018,2018-10-08
2019,2018,2018-10-09
2019,2018,2018-10-10
2019,2018,2018-10-11
2019,2018,2018-10-12
2019,2018,2018-10-15
2019,2018,2018-10-16
2019,2018,2018-10-17
2019,2018,2018-10-18
2019,2018,2018-10-19
2019,2018,2018-10-29
2019,2018,2018-10-30
2019,2018,2018-10-31
2019,2018,2018-11-02
2019,2018,2018-11-05
2019,2019,2019-03-12
2019,2019,2019-03-16
2019,2019,2019-03-25
2019,2019,2019-03-26
2019,2019,2019-03-27
2019,2019,2019-03-28
2019,2019,2019-03-29
2019,2019,2019-04-01
2019,2019,2019-04-02
2019,2019,2019-04-03
2019,2019,2019-04-04
2019,2019,2019-04-05
2019,2019,2019-04-09
2019,2019,2019-04-12
2019,2019,2019-04-23
2019,2019,2019-04-24
2019,2019,2019-04-25
2019,2019,2019-04-26
2019,2019,2019-04-28
2019,2019,2019-04-29
2019,2019,2019-04-30
2019,2019,2019-05-01
2019,2019,2019-05-02
2019,2019,2019-05-03
2019,2019,2019-05-04
2019,2019,2019-05-05
2019,2019,2019-05-07
2019,2019,2019-05-08
2019,2019,2019-05-09
2019,2019,2019-05-10
2019,2019,2019-05-11
2019,2019,2019-05-12
2019,2019,2019-05-13
2019,2019,2019-05-14
2019,2019,2019-05-15
2019,2019,2019-05-16
2019,2019,2019-05-17
2019,2019,2019-05-18
2019,2019,2019-05-19
2019,2019,2019-05-20
2019,2019,2019-05-21
2019,2019,2019-05-22
2019,2019,2019-05-23
2019,2019,2019-05-24
2019,2019,2019-05-25
2019,2019,2019-05-28
2019,2019,2019-05-29
2019,2019,2019-05-30
2019,2019,2019-05-31
2019,2019,2019-06-03
2019,2019,2019-06-04
2019,2019,2019-06-05
2019,2019,2019-06-06
2019,2019,2019-06-07
2019,2019,2019-06-10
2019,2019,2019-06-11
2019,2019,2019-06-12
2019,2019,2019-06-13
2019,2019,2019-06-14
2019,2019,2019-06-17
2019,2019,2019-06-18
2019,2019,2019-06-19
2019,2019,2019-06-20
2019,2019,2019-06-21
2019,2019,2019-06-24
2019,2019,2019-06-25
2019,2019,2019-06-26
2019,2019,2019-06-27
2019,2019,2019-06-28
2019,2019,2019-07-01
2019,2019,2019-07-02
2019,2019,2019-07-03
2019,2019,2019-07-04
2019,2019,2019-07-05
2019,2019,2019-07-08
2019,2019,2019-07-09
2019,2019,2019-07-10
2019,2019,2019-07-11
2019,2019,2019-07-12
2019,2019,2019-07-15
2019,2019,2019-07-16
2019,2019,2019-07-17
2019,2019,2019-07-18
2019,2019,2019-07-19
2019,2019,2019-07-22
2019,2019,2019-07-23
2019,2019,2019-07-24
2019,2019,2019-08-09
2019,2019,2019-08-11
2019,2019,2019-09-12
2019,2019,2019-09-13
2019,2019,2019-09-20
2020,2020,2020-06-29
2020,2020,2020-06-30
2020,2020,2020-07-01
2020,2020,2020-07-02
2020,2020,2020-07-03
2020,2020,2020-07-06
2020,2020,2020-07-07
2020,2020,2020-07-08
2020,2020,2020-07-09
2020,2020,2020-07-10
2020,2020,2020-07-11
2020,2020,2020-07-12
2020,2020,2020-07-13
2020,2020,2020-07-14
2020,2020,2020-07-15
2020,2020,2020-07-16
2020,2020,2020-07-17
2020,2020,2020-07-18
2020,2020,2020-07-19
2020,2020,2020-07-20
2020,2020,2020-07-21
2020,2020,2020-07-22
2020,2020,2020-07-23
2020,2020,2020-07-24
2020,2020,2020-07-27
2020,2020,2020-07-28
2020,2020,2020-07-29
2020,2020,2020-07-30
2020,2020,2020-07-31
2020,2020,2020-08-03
2020,2020,2020-08-04
2020,2020,2020-08-05
2020,2020,2020-08-06
2020,2020,2020-08-07
2020,2020,2020-08-08
2020,2020,2020-08-10
2020,2020,2020-08-11
2020,2020,2020-08-12
2020,2020,2020-08-13
2020,2020,2020-08-14
2020,2020,2020-08-17
2020,2020,2020-08-18
2020,2020,2020-08-19
2020,2020,2020-08-20
2020,2020,2020-08-21
2020,2020,2020-08-24
2020,2020,2020-08-25
2020,2020,2020-08-26
2020,2020,2020-08-27
2020,2020,2020-08-28
2020,2020,2020-09-01
2020,2020,2020-09-02
2020,2020,2020-09-03
2020,2020,2020-09-04
2020,2020,2020-09-07
2020,2020,2020-09-08
2020,2020,2020-09-09
2020,2020,2020-09-10
2020,2020,2020-09-11
2020,2020,2020-09-14
2020,2020,2020-09-15
2020,2020,2020-09-16
2020,2020,2020-09-17
2020,2020,2020-09-18
2020,2020,2020-09-21
2020,2020,2020-09-22
2020,2020,2020-09-23
2020,2020,2020-09-24
2020,2020,2020-09-25
2020,2020,2020-09-28
2020,2020,2020-09-29
2020,2020,2020-09-30
2020,2020,2020-10-01
2020,2020,2020-10-02
2020,2020,2020-10-05
2020,2020,2020-10-06
2020,2020,2020-10-07
2020,2020,2020-10-08
2020,2020,2020-10-09
2020,2020,2020-10-12
2020,2020,2020-10-13
2020,2020,2020-10-14
2020,2020,2020-10-15
2020,2020,2020-10-16
2020,2020,2020-10-19
2020,2020,2020-10-20
2020,2020,2020-10-21
2020,2020,2020-10-22
2020,2020,2020-10-23
2020,2020,2020-11-03
2020,2020,2020-11-04
2021,2021,2021-04-02
2021,2021,2021-04-14
2021,2021,2021-04-15
2021,2021,2021-04-19
2021,2021,2021-04-20
2021,2021,2021-04-21
2021,2021,2021-04-22
2021,2021,2021-04-23
2021,2021,2021-04-26
2021,2021,2021-04-27
2021,2021,2021-04-28
2021,2021,2021-04-29
2021,2021,2021-04-30
2021,2021,2021-05-04
2021,2021,2021-05-05
2021,2021,2021-05-06
2021,2021,2021-05-07
2021,2021,2021-05-10
2021,2021,2021-05-11
2021,2021,2021-05-12
2021,2021,2021-05-13
2021,2021,2021-05-14
2021,2021,2021-05-16
2021,2021,2021-05-17
2021,2021,2021-05-18
2021,2021,2021-05-19
2021,2021,2021-05-20
2021,2021,2021-05-21
2021,2021,2021-05-24
2021,2021,2021-05-25
2021,2021,2021-05-26
2021,2021,2021-05-27
2021,2021,2021-05-28
2021,2021,2021-06-01
2021,2021,2021-06-07
2021,2021,2021-06-08
2021,2021,2021-06-09
2021,2021,2021-06-10
2021,2021,2021-06-11
2021,2021,2021-06-12
2021,2021,2021-06-14
2021,2021,2021-06-15
2021,2021,2021-06-16
2021,2021,2021-06-17
2021,2021,2021-06-18
2021,2021,2021-06-19
2021,2021,2021-06-20
2021,2021,2021-06-21
2021,2021,2021-06-22
2021,2021,2021-06-23
2021,2021,2021-06-24
2021,2021,2021-06-25
2021,2021,2021-06-26
2021,2021,2021-06-27
2021,2021,2021-06-28
2021,2021,2021-06-29
2021,2021,2021-06-30
2021,2021,2021-07-01
2021,2021,2021-07-02
2021,2021,2021-07-03
2021,2021,2021-07-04
2021,2021,2021-07-05
2021,2021,2021-07-06
2021,2021,2021-07-07
2021,2021,2021-07-08
2021,2021,2021-07-09
2021,2021,2021-07-10
2021,2021,2021-07-11
2021,2021,2021-07-12
2021,2021,2021-07-13
2021,2021,2021-07-14
2021,2021,2021-07-15
2021,2021,2021-07-16
2021,2021,2021-07-17
2021,2021,2021-07-18
2021,2021,2021-07-19
2021,2021,2021-07-20
2021,2021,2021-07-21
2021,2021,2021-07-22
2021,2021,2021-07-23
2021,2021,2021-07-24
2021,2021,2021-07-26
2021,2021,2021-07-27
2021,2021,2021-07-28
2021,2021,2021-07-29
2021,2021,2021-07-30
2021,2021,2021-08-01
2021,2021,2021-08-02
2021,2021,2021-09-15
2021,2021,2021-09-16
2021,2021,2021-10-04
2021,2021,2021-10-05
2021,2021,2021-10-06
2021,2021,2021-10-07
2021,2021,2021-10-08
2021,2021,2021-10-11
2021,2021,2021-10-12
2021,2021,2021-10-13
2021,2021,2021-10-14
2021,2021,2021-10-15
2021,2021,2021-10-18
2021,2021,2021-10-19
2021,2021,2021-10-20
2021,2021,2021-10-21
2021,2021,2021-10-22
2021,2021,2021-11-02
2021,2021,2021-11-03
2021,2021,2021-11-04
2022,2022,2022-04-25
2022,2022,2022-04-26
2022,2022,2022-04-27
2022,2022,2022-04-28
2022,2022,2022-05-03
2022,2022,2022-05-04
2022,2022,2022-05-05
2022,2022,2022-05-06
2022,2022,2022-05-07
2022,2022,2022-05-08
2022,2022,2022-05-09
2022,2022,2022-05-10
2022,2022,2022-05-11
2022,2022,2022-05-12
2022,2022,2022-05-13
2022,2022,2022-05-15
2022,2022,2022-05-16
2022,2022,2022-05-17
2022,2022,2022-05-18
2022,2022,2022-05-19
2022,2022,2022-05-20
2022,2022,2022-05-23
2022,2022,2022-05-24
2022,2022,2022-05-25
2022,2022,2022-05-26
2022,2022,2022-05-27
2022,2022,2022-05-31
2022,2022,2022-06-06
2022,2022,2022-06-07
2022,2022,2022-06-08
2022,2022,2022-06-09
2022,2022,2022-06-10
2022,2022,2022-06-13
2022,2022,2022-06-14
2022,2022,2022-06-15
2022,2022,2022-06-16
2022,2022,2022-06-17
2022,2022,2022-06-18
2022,2022,2022-06-20
2022,2022,2022-06-21
2022,2022,2022-06-22
2022,2022,2022-06-24
2022,2022,2022-06-26
2022,2022,2022-06-27
2022,2022,2022-06-28
2022,2022,2022-06-29
2022,2022,2022-06-30
2022,2022,2022-07-01
2022,2022,2022-07-02
2022,2022,2022-07-03
2022,2022,2022-07-04
2022,2022,2022-07-05
2022,2022,2022-07-06
2022,2022,2022-07-07
2022,2022,2022-07-08
2022,2022,2022-07-09
2022,2022,2022-07-10
2022,2022,2022-07-11
2022,2022,2022-07-12
2022,2022,2022-07-13
2022,2022,2022-07-14
2022,2022,2022-07-15
2022,2022,2022-07-17
2022,2022,2022-07-18
2022,2022,2022-07-19
2022,2022,2022-07-20
2023,2023,2023-04-18
2023,2023,2023-04-19
2023,2023,2023-04-20
2023,2023,2023-04-24
2023,2023,2023-04-25
2023,2023,2023-04-26
2023,2023,2023-04-27
2023,2023,2023-05-02
2023,2023,2023-05-03
2023,2023,2023-05-04
2023,2023,2023-05-05
2023,2023,2023-05-06
2023,2023,2023-05-07
2023,2023,2023-05-08
2023,2023,2023-05-09
2023,2023,2023-05-10
2023,2023,2023-05-11
2023,2023,2023-05-12
2023,2023,2023-05-15
2023,2023,2023-05-16
2023,2023,2023-05-17
2023,2023,2023-05-18
2023,2023,2023-05-21
2023,2023,2023-05-22
2023,2023,2023-05-23
2023,2023,2023-05-24
2023,2023,2023-05-25
2023,2023,2023-05-26
2023,2023,2023-05-27
2023,2023,2023-05-30
2023,2023,2023-05-31
2023,2023,2023-06-01
2023,2023,2023-06-02
2023,2023,2023-06-03
2023,2023,2023-06-05
2023,2023,2023-06-06
2023,2023,2023-06-07
2023,2023,2023-06-08
2023,2023,2023-06-09
2023,2023,2023-06-10
2023,2023,2023-06-11
2023,2023,2023-06-12
2023,2023,2023-06-13
2023,2023,2023-06-14
2023,2023,2023-06-15
2023,2023,2023-06-16
2023,2023,2023-06-17
2023,2023,2023-06-18
2023,2023,2023-06-19
2023,2023,2023-06-20
2023,2023,2023-06-21
2023,2023,2023-06-22
2023,2023,2023-06-23
2023,2023,2023-06-24
2023,2023,2023-06-25
2023,2023,2023-06-26
2023,2023,2023-06-27
2023,2023,2023-06-28
2023,2023,2023-06-29
2023,2023,2023-06-30
2023,2023,2023-07-03
2023,2023,2023-07-04
2023,2023,2023-07-05
2023,2023,2023-07-06
2023,2023,2023-07-07
2023,2023,2023-07-08
2023,2023,2023-07-10
2023,2023,2023-07-11
2023,2023,2023-07-12
2023,2023,2023-07-13
2023,2023,2023-07-14
2023,2023,2023-07-17
2023,2023,2023-07-18
2023,2023,2023-07-19
2023,2023,2023-07-25
2023,2023,2023-07-26
2023,2023,2023-07-27
2024,2024,2024-04-11
2024,2024,2024-04-16
2024,2024,2024-04-17
2024,2024,2024-04-18
2024,2024,2024-04-21
2024,2024,2024-04-22
2024,2024,2024-04-23
2024,2024,2024-04-24
2024,2024,2024-04-25
2024,2024,2024-04-26
2024,2024,2024-04-29
2024,2024,2024-04-30
2024,2024,2024-05-01
2024,2024,2024-05-02
2024,2024,2024-05-03
2024,2024,2024-05-07
2024,2024,2024-05-08
2024,2024,2024-05-09
2024,2024,2024-05-10
2024,2024,2024-05-13
2024,2024,2024-05-14
2024,2024,2024-05-15
2024,2024,2024-05-16
2024,2024,2024-05-17
2024,2024,2024-05-20
2024,2024,2024-05-21
2024,2024,2024-05-22
2024,2024,2024-05-23
2024,2024,2024-05-24
2024,2024,2024-05-28
2024,2024,2024-05-29
2024,2024,2024-06-03
2024,2024,2024-06-04
2024,2024,2024-06-05
2024,2024,2024-06-06
2024,2024,2024-06-11
2024,2024,2024-06-12
2024,2024,2024-06-13
2024,2024,2024-06-18
2024,2024,2024-06-19
2024,2024,2024-06-20
2024,2024,2024-06-25
2024,2024,2024-06-26
2024,2024,2024-06-27
2024,2024,2024-07-02
2024,2024,2024-07-03
2024,2024,2024-07-04
2024,2024,2024-07-09
2024,2024,2024-07-10
2024,2024,2024-07-11
2024,2024,2024-07-16
2024,2024,2024-07-17
2024,2024,2024-07-18
2024,2024,2024-07-23
